                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0699,                 4.6399,                 1.3095,                0.17052,                0.22701,                0.04394,                0.03571,                0.68438,                 3.1262,                 1.1378,              0.0033286,              0.0033286,              0.0033286
                      2,                  1.134,                 3.8045,                 1.3349,                0.18578,                0.28472,                0.09134,                0.07053,                0.68285,                   2.71,                 1.1793,                0.00664,                0.00664,                0.00664
                      3,                 1.1878,                 3.6438,                 1.3522,                0.24722,                0.39074,                0.13351,                0.08671,                0.85408,                 3.3869,                 1.3609,              0.0099293,              0.0099293,              0.0099293
                      4,                 1.2382,                 3.5512,                 1.3788,                 0.2296,                 0.4841,                0.21371,                0.17414,                0.65316,                 2.4115,                 1.1586,               0.009901,               0.009901,               0.009901
                      5,                  1.175,                 3.2797,                 1.3362,                0.21329,                 0.4659,                0.22028,                0.18056,                0.62713,                 2.3139,                 1.1107,               0.009868,               0.009868,               0.009868
                      6,                 1.1388,                 3.0609,                 1.3116,                0.20985,                0.50716,                0.31336,                0.26297,                0.61212,                 1.9766,                 1.1164,               0.009835,               0.009835,               0.009835
                      7,                 1.1114,                 2.8948,                 1.2917,                0.33677,                0.58083,                0.41491,                0.35323,                0.57846,                 1.7341,                 1.0832,               0.009802,               0.009802,               0.009802
                      8,                 1.0832,                 2.7667,                 1.2725,                0.39624,                0.58503,                  0.459,                0.39921,                0.53837,                 1.6736,                 1.0539,               0.009769,               0.009769,               0.009769
                      9,                 1.0617,                 2.6863,                 1.2612,                  0.399,                0.61889,                0.51167,                0.45123,                0.51872,                 1.5675,                 1.0452,               0.009736,               0.009736,               0.009736
                     10,                 1.0404,                 2.5983,                 1.2459,                0.42739,                0.63374,                 0.5131,                0.44431,                0.52715,                 1.4887,                 1.0382,               0.009703,               0.009703,               0.009703
                     11,                 1.0171,                 2.5231,                 1.2331,                0.42938,                0.59989,                0.50388,                 0.4499,                0.50465,                 1.5423,                 1.0154,                0.00967,                0.00967,                0.00967
                     12,                 1.0071,                 2.4803,                 1.2323,                0.47415,                0.68201,                0.60608,                0.54148,                0.48096,                 1.3216,                 1.0183,               0.009637,               0.009637,               0.009637
                     13,                0.99277,                 2.4224,                 1.2182,                0.50352,                 0.6812,                0.63096,                0.55879,                0.48136,                 1.2969,                 1.0162,               0.009604,               0.009604,               0.009604
                     14,                0.97512,                 2.3709,                 1.2055,                 0.5753,                0.69362,                0.67965,                0.61681,                0.46685,                 1.1965,                 1.0037,               0.009571,               0.009571,               0.009571
                     15,                 0.9685,                 2.3314,                 1.2056,                0.56366,                0.70456,                0.69029,                0.62662,                0.45198,                 1.1829,                0.99298,               0.009538,               0.009538,               0.009538
                     16,                0.95888,                 2.2828,                  1.198,                0.57628,                0.68327,                0.70295,                0.63118,                0.45585,                 1.1631,                 0.9953,               0.009505,               0.009505,               0.009505
                     17,                0.95114,                 2.2424,                 1.1921,                 0.5839,                0.74226,                0.72878,                0.65706,                0.46273,                 1.1161,                 1.0009,               0.009472,               0.009472,               0.009472
                     18,                0.94757,                 2.2219,                 1.1919,                  0.661,                0.70524,                0.74252,                0.67314,                 0.4277,                 1.0283,                0.98306,               0.009439,               0.009439,               0.009439
                     19,                0.93704,                 2.1748,                 1.1799,                0.63797,                0.73029,                0.75762,                0.68814,                0.43044,                 1.0145,                0.97418,               0.009406,               0.009406,               0.009406
                     20,                0.92109,                 2.1365,                 1.1748,                0.71879,                0.71343,                0.77229,                0.70099,                0.42917,                0.94511,                0.97753,               0.009373,               0.009373,               0.009373
                     21,                0.91675,                 2.0959,                 1.1715,                0.65109,                0.74265,                0.76854,                0.69522,                0.43139,                0.97267,                0.97703,                0.00934,                0.00934,                0.00934
                     22,                0.91084,                 2.0782,                 1.1682,                0.68685,                0.77818,                0.78394,                0.72086,                0.40923,                0.91816,                0.96248,               0.009307,               0.009307,               0.009307
                     23,                0.90307,                  2.037,                 1.1614,                0.70855,                 0.7785,                0.79637,                 0.7282,                0.41119,                0.88125,                0.96171,               0.009274,               0.009274,               0.009274
                     24,                0.89301,                 2.0196,                   1.16,                0.73768,                0.75285,                0.79573,                0.73044,                0.41064,                0.88685,                0.96601,               0.009241,               0.009241,               0.009241
                     25,                 0.8887,                  2.006,                 1.1575,                0.74689,                0.76856,                0.81719,                 0.7489,                0.41891,                0.83462,                0.95767,               0.009208,               0.009208,               0.009208
                     26,                0.88202,                 1.9598,                 1.1492,                0.77835,                 0.7718,                0.82999,                0.75459,                0.42457,                0.79952,                0.96465,               0.009175,               0.009175,               0.009175
                     27,                0.88256,                 1.9471,                 1.1508,                 0.7316,                0.79679,                0.82983,                0.76759,                0.40521,                0.80877,                0.96257,               0.009142,               0.009142,               0.009142
                     28,                0.88092,                 1.9189,                 1.1479,                 0.7882,                0.75652,                0.82661,                0.75545,                0.41304,                0.80013,                0.96999,               0.009109,               0.009109,               0.009109
                     29,                0.86888,                 1.8935,                 1.1388,                 0.7896,                0.79042,                0.83332,                0.76863,                0.39792,                0.78523,                0.95272,               0.009076,               0.009076,               0.009076
                     30,                0.86967,                  1.868,                 1.1435,                0.74138,                0.81791,                0.83678,                0.77298,                0.39827,                0.78082,                0.94841,               0.009043,               0.009043,               0.009043
                     31,                0.86046,                 1.8366,                 1.1339,                0.78833,                0.78572,                0.84075,                 0.7778,                0.38366,                0.76044,                0.94489,                0.00901,                0.00901,                0.00901
                     32,                0.86287,                 1.8236,                 1.1348,                0.74719,                 0.8317,                 0.8498,                 0.7892,                0.38065,                0.74189,                0.94449,               0.008977,               0.008977,               0.008977
                     33,                0.85411,                 1.8022,                 1.1348,                0.81429,                0.80452,                0.86122,                0.80408,                0.37388,                0.70937,                0.93688,               0.008944,               0.008944,               0.008944
                     34,                0.84358,                 1.7621,                 1.1262,                0.79729,                0.80971,                0.85486,                0.79393,                0.37909,                0.71137,                0.93957,               0.008911,               0.008911,               0.008911
                     35,                0.84723,                 1.7516,                  1.128,                0.82697,                0.80274,                 0.8619,                0.80132,                0.38463,                0.68166,                0.94524,               0.008878,               0.008878,               0.008878
                     36,                0.83817,                 1.7315,                 1.1231,                0.80962,                0.80875,                0.86212,                0.80534,                0.36867,                0.68749,                0.92893,               0.008845,               0.008845,               0.008845
                     37,                0.82912,                   1.71,                  1.118,                0.78803,                0.81807,                0.86472,                0.80605,                0.36804,                0.67962,                0.92617,               0.008812,               0.008812,               0.008812
                     38,                0.83808,                 1.6972,                  1.121,                0.80925,                0.82145,                0.86695,                0.80696,                0.37624,                0.68676,                0.94026,               0.008779,               0.008779,               0.008779
                     39,                0.83134,                 1.6773,                 1.1178,                0.84193,                0.80051,                0.87449,                0.81615,                0.36878,                0.66043,                  0.927,               0.008746,               0.008746,               0.008746
                     40,                0.82619,                 1.6489,                 1.1144,                0.79538,                0.82997,                0.86983,                0.80878,                0.37172,                0.66838,                0.93337,               0.008713,               0.008713,               0.008713
                     41,                0.83148,                 1.6295,                 1.1108,                0.81903,                0.81872,                 0.8703,                0.80854,                0.37245,                0.67536,                0.93186,                0.00868,                0.00868,                0.00868
                     42,                0.81553,                 1.6019,                 1.1093,                0.81824,                0.82911,                0.87341,                0.81529,                0.37341,                0.66106,                0.93403,               0.008647,               0.008647,               0.008647
                     43,                0.81662,                 1.5932,                 1.1058,                0.82157,                0.84608,                0.87662,                0.81661,                0.36842,                0.65156,                0.93239,               0.008614,               0.008614,               0.008614
                     44,                0.81346,                 1.5737,                 1.1068,                0.83113,                0.82796,                0.87671,                0.81706,                0.37147,                0.64675,                0.92905,               0.008581,               0.008581,               0.008581
                     45,                0.80806,                 1.5688,                 1.1067,                0.81279,                0.84142,                0.88145,                0.82359,                0.37004,                0.63219,                 0.9356,               0.008548,               0.008548,               0.008548
                     46,                0.81387,                 1.5591,                 1.1056,                0.84422,                0.82912,                0.89075,                0.83097,                0.37092,                0.61617,                0.93477,               0.008515,               0.008515,               0.008515
                     47,                0.80144,                 1.5316,                    1.1,                0.82083,                0.83491,                0.88641,                0.82641,                 0.3674,                0.61951,                  0.929,               0.008482,               0.008482,               0.008482
                     48,                0.80081,                 1.5151,                 1.0968,                0.84407,                0.84605,                0.89142,                0.83358,                0.36306,                0.60744,                0.92445,               0.008449,               0.008449,               0.008449
                     49,                0.79777,                 1.4988,                  1.098,                0.85325,                0.83072,                 0.8894,                0.83109,                0.36523,                0.60993,                0.92929,               0.008416,               0.008416,               0.008416
                     50,                0.79279,                 1.4777,                 1.0962,                0.86702,                0.81595,                 0.8885,                0.83354,                0.36316,                0.61257,                0.92598,               0.008383,               0.008383,               0.008383
                     51,                0.80247,                 1.4758,                 1.0978,                0.85088,                0.82417,                0.89061,                  0.834,                0.36405,                0.61647,                 0.9312,                0.00835,                0.00835,                0.00835
                     52,                0.78946,                 1.4503,                 1.0907,                0.84307,                0.83906,                 0.8923,                 0.8364,                0.36227,                0.60796,                0.92781,               0.008317,               0.008317,               0.008317
                     53,                0.79288,                 1.4426,                 1.0932,                0.85481,                0.83815,                0.88958,                0.83667,                0.36497,                0.60307,                0.93388,               0.008284,               0.008284,               0.008284
                     54,                0.78664,                 1.4148,                 1.0877,                0.84783,                0.84172,                   0.89,                0.83342,                0.36575,                0.61343,                0.93464,               0.008251,               0.008251,               0.008251
                     55,                 0.7814,                 1.4127,                 1.0871,                0.87288,                 0.8255,                0.89481,                0.83922,                0.36223,                0.59488,                0.93022,               0.008218,               0.008218,               0.008218
                     56,                0.78247,                 1.3837,                 1.0854,                0.86916,                0.83387,                0.89579,                  0.837,                0.36775,                0.59439,                0.93355,               0.008185,               0.008185,               0.008185
                     57,                0.77897,                 1.3935,                 1.0869,                0.85368,                0.84765,                 0.8977,                0.84107,                0.36254,                0.58323,                0.93444,               0.008152,               0.008152,               0.008152
                     58,                0.77921,                 1.3709,                 1.0837,                0.83271,                0.86268,                0.89732,                0.84208,                0.36086,                0.58513,                0.93093,               0.008119,               0.008119,               0.008119
                     59,                0.78165,                 1.3584,                 1.0854,                0.86201,                0.83365,                0.89529,                0.83943,                 0.3611,                0.58609,                0.93433,               0.008086,               0.008086,               0.008086
                     60,                0.77104,                 1.3564,                 1.0802,                0.84316,                0.84779,                0.89377,                0.83848,                0.36113,                0.58674,                0.93451,               0.008053,               0.008053,               0.008053
                     61,                 0.7659,                 1.3455,                 1.0799,                0.85882,                0.82607,                0.89352,                0.83987,                0.35974,                0.59315,                0.92786,                0.00802,                0.00802,                0.00802
                     62,                 0.7681,                 1.3275,                 1.0721,                0.83738,                0.85909,                0.89538,                0.84198,                0.35944,                0.59109,                0.92724,               0.007987,               0.007987,               0.007987
                     63,                0.76253,                 1.3136,                 1.0767,                0.85762,                0.84087,                0.89556,                0.84309,                0.35464,                0.59037,                0.92579,               0.007954,               0.007954,               0.007954
                     64,                0.76654,                 1.3153,                 1.0775,                 0.8347,                0.85137,                0.89333,                0.84053,                 0.3567,                  0.596,                0.92632,               0.007921,               0.007921,               0.007921
                     65,                0.76204,                 1.2967,                 1.0734,                0.83935,                0.85142,                 0.8972,                0.84623,                0.35545,                0.58777,                0.92466,               0.007888,               0.007888,               0.007888
                     66,                0.75954,                 1.2736,                 1.0738,                0.84947,                0.84282,                0.89855,                0.84711,                0.35523,                0.58566,                0.92664,               0.007855,               0.007855,               0.007855
                     67,                0.75216,                 1.2529,                 1.0663,                0.84602,                0.84887,                0.89945,                0.84599,                0.35638,                 0.5792,                0.92797,               0.007822,               0.007822,               0.007822
                     68,                0.75836,                 1.2632,                 1.0739,                0.86055,                0.84043,                    0.9,                0.84704,                0.35385,                0.57604,                0.92397,               0.007789,               0.007789,               0.007789
                     69,                0.75685,                 1.2613,                 1.0711,                0.85897,                0.84683,                0.89899,                0.84586,                0.35437,                0.57807,                0.92455,               0.007756,               0.007756,               0.007756
